,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
32,32,32,32,32,32,32,32,68,68,68.0,68.0,68.0,68.0,68.0,,,23,195,10,1974820,25307,76345,501,-1280609141,432272,2,27914,3459646,42267,1813260,12082,-58362564,689141,103,4,10,59916,True
33,33,33,33,33,33,33,33,69,69,69.0,69.0,69.0,69.0,69.0,,,24,556,10,2821562,34637,77719,501,1707931985,940552,2,38255,3525062,45119,1659253,11083,50368630,912404,93,4,10,61813,True
34,34,34,34,34,34,34,34,70,70,70.0,70.0,70.0,70.0,70.0,,,24,556,10,2860922,35939,75135,501,1707968761,572880,2,39796,2980138,36738,1287757,8578,-15856840,1162528,78,4,8,50848,True
35,35,35,35,35,35,35,35,71,71,71.0,71.0,71.0,71.0,71.0,,,24,556,10,2598378,34974,76512,501,-576560142,535475,2,38606,3956751,44533,1586800,10585,38804857,1075590,88,4,9,61881,True
36,36,36,36,36,36,36,36,72,72,72.0,72.0,72.0,72.0,72.0,,,25,195,10,2335220,26836,76209,501,-287733009,718696,2,29615,3247652,40188,1592661,10573,-638748,706088,91,4,9,58504,True
37,37,37,37,37,37,37,37,73,73,73.0,73.0,73.0,73.0,73.0,,,25,195,10,2122959,25386,74457,501,-1292769880,932983,2,28015,3558787,43299,1665206,11076,-42984063,1089375,90,4,9,60761,True
38,38,38,38,38,38,38,38,74,74,74.0,74.0,74.0,74.0,74.0,,,25,195,10,904226,16470,74318,501,1712861056,918797,2,18164,2962753,39831,1664458,11084,49254422,756405,99,4,10,57885,True
39,39,39,39,39,39,39,39,75,75,75.0,75.0,75.0,75.0,75.0,,,26,314,10,1864238,20898,74875,501,-1277515279,321399,2,23022,320141,5150,310679,2057,61892460,664863,42,4,4,7445,True
40,40,40,40,40,40,40,40,76,76,76.0,76.0,76.0,76.0,76.0,,,26,314,10,1152422,16414,74082,501,-283928760,750745,2,18082,415013,5854,311760,2053,32180319,139535,42,4,4,8689,True
41,41,41,41,41,41,41,41,77,77,77.0,77.0,77.0,77.0,77.0,,,26,314,10,1601547,19364,75207,501,710062966,399325,2,21332,567278,6926,311267,2056,-88242910,217964,42,4,4,9937,True
42,42,42,42,42,42,42,42,78,78,78.0,78.0,78.0,78.0,78.0,,,27,330,10,1459565,26182,73990,501,-1281165301,460098,2,28916,2633053,33565,1661201,11078,42882762,278572,85,4,9,47106,True
43,43,43,43,43,43,43,43,79,79,79.0,79.0,79.0,79.0,79.0,,,27,330,10,1426118,27059,75615,501,1009010398,155120,2,29936,3628699,44894,1739353,11583,36840260,808293,93,4,10,61839,True
44,44,44,44,44,44,44,44,80,80,80.0,80.0,80.0,80.0,80.0,,,27,330,10,2198965,32006,75022,501,-580838644,697521,2,35376,2703964,34259,1659113,11074,-45095384,426665,90,4,9,47859,True
